,Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES,Number of Patients
0,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,237.0,359.0,441.0,,20.9,417.0,1917.0,1038.0,387.0,53.8,236.0,384.0,268.0,25.4,16.9,890.0,2660.0,1747.0,,91.6,4.483505057,0.634084507,NASH,,Liver,NASH,Metabolic,3.0,4.0,48.0,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 30 mins,7.0
1,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,142.0,135.9,261.0,,15.0,234.0,54.5,402.0,109.0,61.2,67.1,141.0,904.0,3.8,3.5,443.1,331.4,1567.0,,79.7,3.574833002,2.27178825,,,Healthy,Normal,Normal,7.0,8.0,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 60 mins,15.0
2,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,184.0,119.0,262.0,,19.6,228.0,923.0,389.0,101.0,53.5,67.3,140.0,96.7,3.8,4.0,479.3,1182.0,747.7,,77.1,3.431919261,0.559561789,,,Healthy,Normal,Normal,7.0,8.0,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 30 mins,15.0
3,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,166.0,325.0,447.0,,20.0,432.0,129.0,926.0,335.0,43.4,239.0,372.0,283.0,18.1,15.1,837.0,826.0,1656.0,,78.5,2.915031315,1.255321708,NASH,,Liver,NASH,Metabolic,3.0,4.0,48.0,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 60 mins,7.0
4,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,107.0,131.0,263.0,,15.4,233.0,50.4,441.0,115.0,77.2,68.4,150.0,97.3,3.7,3.8,408.4,331.4,801.3,,96.4,2.400852053,1.373884834,,,Healthy,Normal,Normal,7.0,8.0,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 90 mins,15.0
5,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fasted,LC-MS,nM,236.0,355.0,431.0,,19.9,245.0,918.0,442.0,204.0,20.2,131.0,265.0,167.0,9.5,11.2,612.0,1538.0,1040.0,,51.3,2.315865246,0.606883721,NASH,,Liver,NASH,Metabolic,3.0,4.0,48.0,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Fasting,7.0
6,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,160.0,433.0,571.0,,22.1,402.0,120.0,747.0,322.0,44.9,223.0,323.0,241.0,16.0,9.5,785.0,876.0,1559.0,,76.5,2.064244162,1.188139675,NASH,,Liver,NASH,Metabolic,3.0,4.0,48.0,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 90 mins,7.0
7,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,115.0,135.0,273.0,,12.8,180.0,32.5,408.0,118.0,72.0,54.8,131.0,80.6,3.4,3.2,349.8,298.5,761.6,,88.0,2.02220978,1.497763381,,,Healthy,Normal,Normal,7.0,8.0,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 120 mins,15.0
8,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,120.0,414.0,518.0,,24.3,321.0,80.9,589.0,317.0,40.7,160.0,299.0,214.0,16.5,12.1,601.0,793.9,1321.0,,77.1,1.90485924,1.24137931,NASH,,Liver,NASH,Metabolic,3.0,4.0,48.0,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 120 mins,7.0
9,Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fasted,LC-MS,nM,199.0,140.0,261.2,,13.4,73.3,388.0,128.0,55.6,14.1,21.5,49.2,27.1,1.9,1.3,293.8,577.2,416.3,,28.8,1.238591917,0.577037887,,,Healthy,Normal,Normal,7.0,8.0,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Fasting,15.0
