,BA,Conc,Fasted/Fed,Serum/Plasma,Analysis Technique,Healthy/Unhealthy,Exact Analysis Technique,Starting Volume,Average Age,Number of Patients,Protein Precipitation,NAFLD/NASH/Cirrhosis,Liver/Non-Liver
0,CA,237.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
1,CA,142.0,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
2,CA,184.0,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
3,CA,166.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
4,CA,107.0,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
5,CA,236.0,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
6,CA,160.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
7,CA,115.0,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
8,CA,120.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
9,CA,199.0,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
10,CA,135.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,74.7,305.0,,,
11,CA,155.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,71.12,284.0,,,
12,CA,192.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,73.95,505.0,,,
13,CA,221.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,84.58,370.0,,,
14,CA,245.0,Fasted,Serum,LC-MS,Unknown,LC-MS/MS,,72.18,98.0,,,
15,CA,36.0,Fasted,Plasma,LC-MS,Both,UPLC-MS/MS,50.0,47.5,33.0,Methanol,,
16,CA,119.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,60.9,42.0,Methanol,,Non-Liver
17,CA,334.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,52.3,19.0,Methanol,HCC,Liver
18,CA,398.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,57.9,120.0,Methanol,,Non-Liver
19,CA,492.0,Unknown,Plasma,LC-MS,Unhealthy,UPLC-MS/MS,50.0,62.4,28.0,Methanol,,Non-Liver
20,CA,268.0,Unknown,Plasma,LC-MS,Normal,UPLC-MS/MS,50.0,39.9,120.0,Methanol,Normal,Healthy
21,CA,69.5,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,66.5,20.0,Ethanol,,Non-Liver
22,CA,82.10000000000001,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,58.0,29.0,Ethanol,,Liver
23,CA,85.1,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,59.9,67.0,Ethanol,,Liver
24,CA,130.3,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,61.0,21.0,Ethanol,,Liver
25,CA,186.70000000000002,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,20.0,62.5,13.0,Ethanol,NAFLD,Liver
26,CA,63.8,Fasted,Serum,LC-MS,Normal,LC-MS/MS,20.0,,46.0,Ethanol,Normal,Healthy
27,CA,466.71561429270673,Fed,Serum,LC-MS,Unhealthy,LC-MS/MS,50.0,46.4,331.0,Acetonitrile,,
28,CA,150.7586882036221,Both,Serum,LC-MS,Normal,LC-MS/MS,50.0,48.2,314.0,Acetonitrile,Normal,Healthy
