Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,237,359,441,,20.9,417,1917,1038,387,53.8,236,384,268,25.4,16.9,890,2660,1747,,91.6,4.483505057,0.634084507,NASH,,Liver,NASH,Metabolic,3,4,48,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 30 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,142,135.9,261,,15,234,54.5,402,109,61.2,67.1,141,904,3.8,3.5,443.1,331.4,1567,,79.7,3.574833002,2.27178825,,,Healthy,Normal,Normal,7,8,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 60 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,184,119,262,,19.6,228,923,389,101,53.5,67.3,140,96.7,3.8,4,479.3,1182,747.7,,77.1,3.431919261,0.559561789,,,Healthy,Normal,Normal,7,8,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 30 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,166,325,447,,20,432,129,926,335,43.4,239,372,283,18.1,15.1,837,826,1656,,78.5,2.915031315,1.255321708,NASH,,Liver,NASH,Metabolic,3,4,48,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 60 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,107,131,263,,15.4,233,50.4,441,115,77.2,68.4,150,97.3,3.7,3.8,408.4,331.4,801.3,,96.4,2.400852053,1.373884834,,,Healthy,Normal,Normal,7,8,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 90 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fasted,LC-MS,nM,236,355,431,,19.9,245,918,442,204,20.2,131,265,167,9.5,11.2,612,1538,1040,,51.3,2.315865246,0.606883721,NASH,,Liver,NASH,Metabolic,3,4,48,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Fasting
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,160,433,571,,22.1,402,120,747,322,44.9,223,323,241,16,9.5,785,876,1559,,76.5,2.064244162,1.188139675,NASH,,Liver,NASH,Metabolic,3,4,48,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 90 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fed,LC-MS,nM,115,135,273,,12.8,180,32.5,408,118,72,54.8,131,80.6,3.4,3.2,349.8,298.5,761.6,,88,2.02220978,1.497763381,,,Healthy,Normal,Normal,7,8,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Post-Prandial 120 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,7,Unhealthy,Fed,LC-MS,nM,120,414,518,,24.3,321,80.9,589,317,40.7,160,299,214,16.5,12.1,601,793.9,1321,,77.1,1.90485924,1.24137931,NASH,,Liver,NASH,Metabolic,3,4,48,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.81,UPLC-TQMS: NASH Post-Prandial 120 mins
Altered Bile Acid Metabolome in Patients with Nonalcoholic Steatohepatitis,https://doi.org/10.1007/s10620-015-3776-8,Serum,15,Normal,Fasted,LC-MS,nM,199,140,261.2,,13.4,73.3,388,128,55.6,14.1,21.5,49.2,27.1,1.9,1.3,293.8,577.2,416.3,,28.8,1.238591917,0.577037887,,,Healthy,Normal,Normal,7,8,,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2015,Arithmetic Mean,0.63,UPLC-TQMS: Healthy Fasting
Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,305,Unknown,Fasted,LC-MS,uM,0.135,0.216,0.627,0.087,,0.297,0.806,0.672,0.136,0.039,0.066,0.097,0.077,0.008,0.006,0.498,1.119,1.376,0.231,,2.069483568,1.021645022,Alzheimer's Disease,,,,,166,139,74.7,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Alzheimer's Disease
Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,284,Unknown,Fasted,LC-MS,uM,0.155,0.241,0.574,0.072,,0.234,0.724,0.488,0.114,0.034,0.057,0.088,0.059,0.008,0.005,0.446,1.053,1.121,0.194,,1.738003839,0.903268846,Early Mild Cognitive Impairment,,,,,154,130,71.12,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Early Mild Cognitive Impairment
Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,505,Unknown,Fasted,LC-MS,uM,0.192,0.288,0.529,0.091,,0.239,0.71,0.502,0.129,0.03,0.068,0.091,0.065,0.008,0.005,0.499,1.089,1.096,0.228,,1.679090909,0.855793451,Late Mild Cognitive Impairment,,,,,308,197,73.95,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Late Mild Cognitive Impairment
Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,370,Unknown,Fasted,LC-MS,uM,0.221,0.285,0.526,0.065,,0.236,0.658,0.44,0.115,0.027,0.068,0.09,0.058,0.008,0.005,0.525,1.033,1.024,0.188,,1.554238833,0.798459564,Cognitively Normal,,,,,180,190,84.58,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Cognitively Normal
Altered bile acid profile in mild cognitive impairment and Alzheimer's disease: Relationship to neuroimaging and CSF biomarkers,https://doi.org/10.1016/j.jalz.2018.08.012,Serum,98,Unknown,Fasted,LC-MS,uM,0.245,0.315,0.52,0.044,,0.269,0.702,0.462,0.093,0.025,0.09,0.114,0.077,0.008,0.004,0.604,1.131,1.059,0.145,,1.640569395,0.710662824,Subjective Memory Complaint,,,,,42,56,72.18,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,Subjective Memory Complaint
An integrated analysis of bile acid metabolism in humans with severe obesity,https://doi.org/10.1097/HEP.0000000000000938,Plasma,33,Both,Fasted,LC-MS,uM,0.036,0.067,0.153,0.021,0.004,0.07,0.183,0.117,0.033,0.006,0.016,0.027,0.017,0.001,0.001,0.122,0.277,0.287,0.055,0.011,1.676156584,0.884711779,Obesity,,,,,7,26,47.5,,50,Methanol,N2,Methanol:H2O,,,UPLC-MS/MS,2024,Median,,UPLC-MS/MS: Median; severe obesity undergoing bariatric surgery
Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,42,Unhealthy,Unknown,LC-MS,uM,0.119,0.12,0.282,0.113,0.008,44.04,30.14,0.689,2.17,0.039,60.61,22.85,0.41,0.435,0.02,104.769,53.11,1.381,2.718,0.067,251.4065421,0.026387297,Cholangiocarcinoma,,Non-Liver,,,25,17,60.9,50ul plasma. 1oul IS and 140ul MeOH. Vortex. Centrifuge.,50,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,7.52,UPLC-MS/MS: Mean; Cholangiocarcinoma
Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,19,Unhealthy,Unknown,LC-MS,uM,0.334,0.652,0.215,0.108,0.018,1.26,3.974,0.506,0.546,0.026,0.467,0.831,0.129,0.051,0.014,2.061,5.457,0.85,0.705,0.058,5.880934439,0.214551742,HCC,,Liver,HCC,HCC,16,3,52.3,50ul plasma. 1oul IS and 140ul MeOH. Vortex. Centrifuge.,50,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,0.88,UPLC-MS/MS: Mean; HCC
Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,120,Unhealthy,Unknown,LC-MS,uM,0.398,0.931,0.418,0.23,0.021,0.694,2.786,0.54,0.315,0.027,0.269,0.522,0.11,0.024,0.01,1.361,4.239,1.068,0.569,0.058,2.651151151,0.302678571,Benign Biliary Disease,,Non-Liver,,,46,74,57.9,50ul plasma. 1ul IS and 140ul MeOH. Vortex. Centrifuge.,50,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,0.71,UPLC-MS/MS: Mean; Benign Biliary Disease
Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,28,Unhealthy,Unknown,LC-MS,uM,0.492,1.064,0.398,0.252,0.015,0.551,2.81,0.769,0.798,0.028,0.153,0.407,0.167,0.063,0.01,1.196,4.281,1.334,1.113,0.053,2.591625394,0.456454263,Gallbladder Cancer,,Non-Liver,,,13,15,62.4,50ul plasma. 1oul IS and 140ul MeOH. Vortex. Centrifuge.,50,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,1.3,UPLC-MS/MS: Mean; Gallbladder Cancer
Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,120,Normal,Unknown,LC-MS,uM,0.268,0.676,0.53,0.169,0.025,0.196,1.678,0.469,0.188,0.023,0.033,0.182,0.082,0.017,0.009,0.497,2.536,1.081,0.374,0.057,1.724820144,0.49851632,,,Healthy,Normal,Normal,58,62,39.9,50ul plasma. 1ul IS and 140ul MeOH. Vortex. Centrifuge.,50,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,0.65,UPLC-MS/MS: Mean; Healthy
Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,20,Unhealthy,Fasted,LC-MS,uM,0.0695,0.1047,0.0322,0.0884,0.0177,1.9652,4.9012,0.1782,0.7939,0.015,0.69,1.9965,0.09,0.1281,0.0176,2.7247,7.0024,0.3004,1.0104,0.0503,34.48224,0.139928653,Biliary Tract Disease,,Non-Liver,,,14,6,66.5,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,2.09,LC-MS/MS: Geometric Mean; Biliary Tract Disease
Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,29,Unhealthy,Fasted,LC-MS,uM,0.0821,0.1578,0.0736,0.2254,0.0178,1.4384,3.3494,0.1786,1.0877,0.0229,0.4915,1.1573,0.0635,0.1516,0.014,2.012,4.6645,0.3157,1.4647,0.0547,14.28938387,0.274859582,Other Liver Diseases,,Liver,,,9,20,58,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.41,LC-MS/MS: Geometric Mean; Other Liver Diseases
Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,67,Unhealthy,Fasted,LC-MS,uM,0.0851,0.2539,0.129,0.2369,0.0242,0.8171,2.8356,0.232,0.8998,0.0233,0.2289,0.8308,0.0767,0.1076,0.0145,1.1311,3.9203,0.4377,1.2443,0.062,8.320257852,0.345250822,Viral Hepatitis,,Liver,,,40,27,59.9,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.18,LC-MS/MS: Geometric Mean; Viral Hepatitis
Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,21,Unhealthy,Fasted,LC-MS,uM,0.1303,0.5525,0.0788,1.1532,0.022,0.9344,3.7629,0.1449,3.3367,0.0142,0.1952,0.7649,0.039,0.2419,0.0109,1.2599,5.0803,0.2627,4.7318,0.0471,4.876600578,0.795179963,ALD,,Liver,,,20,1,61,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.05,LC-MS/MS: Geometric Mean; ALD
Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,13,Unhealthy,Fasted,LC-MS,uM,0.1867,0.5511,0.1984,0.3263,0.0346,0.6518,2.6327,0.253,0.7276,0.0276,0.1147,0.3995,0.0627,0.0553,0.0095,0.9532,3.5833,0.5141,1.1092,0.0717,3.804178552,0.373636063,NAFLD,,Liver,NAFLD,Metabolic,6,7,62.5,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.19,LC-MS/MS: Geometric Mean; NAFLD
Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,46,Normal,Fasted,LC-MS,uM,0.0638,0.3445,0.2665,0.1975,0.0103,0.1235,0.546,0.157,0.211,0.0071,0.0157,0.1095,0.0219,0.0085,0.0057,0.203,1,0.4454,0.417,0.0231,1.366304102,0.736076475,,,Healthy,Normal,Normal,25,21,,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Median,0.8,LC-MS/MS: Median; Healthy controls
Assessment of serum bile acid profiles as biomarkers of liver injury and liver disease in humans,https://doi.org/10.1371/journal.pone.0193824,Serum,331,Unhealthy,Fed,LC-MS,ng/ml,190.7,278.2,88.2,,,6263.8,7785.7,997.1,,,3995.7,4584.9,336,,,,,,,,43.01418058,0.061530802,Liver Injuries,,,,,186,145,46.4,50ul serum. 400ul 1% v/v fomic acid in acetonitrile for protein precipitation. 10ul IS added. Vortex. 10min centrifugation. SN evaporated under N2 at 40deg. Reconstituted in 100ul 50% v/v methanol in H2O,50,Acetonitrile,N2,Methanol:H2O,,,LC-MS/MS,2018,Arithmetic Mean,14.7,LC-MS/MS; Hepatic Injury
Assessment of serum bile acid profiles as biomarkers of liver injury and liver disease in humans,https://doi.org/10.1371/journal.pone.0193824,Serum,314,Normal,Both,LC-MS,ng/ml,61.6,115.4,205.6,,,218.3,564.5,317,,,41.1,86.1,48.5,,,,,,,,3.333768949,0.525390984,,,Healthy,Normal,Normal,117,197,48.2,50ul serum. 400ul 1% v/v formic acid in acetonitrile for protein precipitation. 10ul IS added. Vortex. 10min centrifugation. SN evaporated under N2 at 40deg. Reconstituted in 100ul 50% v/v methanol in H2O,50,Acetonitrile,N2,Methanol:H2O,,,LC-MS/MS,2018,Arithmetic Mean,0.55,UPLC-TQMS: Median No-NAFLD
Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,27,Unhealthy,Fed,LC-MS,nM,195.1,1455,629.6,235.4,,546.7,2960.7,283.2,,,109.7,449.2,31.4,12.2,,851.5,4864.9,944.2,,,1.746689992,0.208487859,NASH,,Liver,NASH,Metabolic,8,19,60.9,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Nonobese NASH
Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,45,Unhealthy,Fed,LC-MS,nM,87.2,658.4,706.3,98.1,,312.7,1218.6,296.4,,,110.8,420.6,84.6,12,,510.7,2297.6,1087.3,,,1.584322581,0.426378948,NASH,,Liver,NASH,Metabolic,20,25,48.4,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Obese NASH
